node_number,cluster_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,3
20,10
21,19
22,20
23,6
24,21
25,18
26,22
27,23
28,24
29,25
30,6
31,26
32,17
33,27
34,28
35,13
36,29
37,30
38,31
39,32
40,19
41,33
42,34
43,6
44,35
45,19
46,36
47,37
48,14
49,5
50,38
51,39
52,40
53,26
54,41
55,6
56,42
57,33
58,9
59,43
60,44
61,45
62,19
63,46
64,47
65,12
66,48
67,49
68,50
69,51
70,46
71,52
72,20
73,53
74,54
75,55
76,56
77,57
78,26
79,51
80,58
81,59
82,60
83,61
84,36
85,62
86,63
87,2
88,18
89,18
90,29
91,64
92,34
93,32
94,19
95,63
96,65
97,63
98,44
99,3
100,58
101,27
102,66
103,28
104,67
105,29
106,68
107,69
108,7
109,30
110,16
111,48
112,48
113,22
114,40
115,44
116,70
117,71
118,72
119,56
120,1
121,19
122,73
123,74
124,14
125,75
126,17
127,19
128,76
129,7
130,18
131,8
132,77
133,8
134,19
135,5
136,33
137,78
138,79
139,48
140,80
141,57
142,53
143,53
144,66
145,6
146,68
147,28
148,79
149,63
150,81
151,19
152,41
153,17
154,48
155,50
156,40
157,4
158,12
159,13
160,82
161,46
162,74
163,34
164,28
165,65
166,83
167,41
168,66
169,61
170,84
171,85
172,23
173,33
174,16
175,86
176,87
177,88
178,22
179,49
180,89
181,23
182,79
183,27
184,58
185,76
186,51
187,63
188,38
189,34
190,63
191,24
192,19
193,9
194,60
195,30
196,79
197,23
198,55
199,90
200,68
201,79
202,28
203,19
204,73
205,82
206,60
207,90
208,25
209,63
210,28
211,60
212,91
213,92
214,76
215,63
216,43
217,5
218,5
219,62
220,93
221,57
222,4
223,14
224,94
225,90
226,81
227,18
228,86
229,48
230,34
231,95
232,13
233,53
234,3
235,62
236,56
237,96
238,53
239,78
240,53
241,97
242,8
243,58
244,76
245,28
246,27
247,63
248,68
249,6
250,34
251,40
252,8
253,13
254,98
255,6
256,1
257,58
258,89
259,5
260,36
261,22
262,99
263,100
264,5
265,94
266,27
267,79
268,72
269,53
270,77
271,43
272,88
273,31
274,28
275,53
276,34
277,3
278,88
279,35
280,19
281,22
282,15
283,101
284,94
285,12
286,20
287,20
288,54
289,5
290,70
291,33
292,94
293,48
294,65
295,22
296,54
297,35
298,76
299,100
300,6
301,40
302,49
303,91
304,60
305,86
306,36
307,60
308,5
309,58
310,52
311,9
312,10
313,93
314,5
315,102
316,79
317,79
318,48
319,56
320,50
321,19
322,72
323,17
324,64
325,103
326,63
327,97
328,12
329,39
330,104
331,5
332,62
333,79
334,53
335,19
336,105
337,104
338,66
339,17
340,5
341,63
342,1
343,2
344,53
345,18
346,49
347,41
348,93
349,63
350,63
351,83
352,104
353,61
354,50
355,106
356,7
357,4
358,23
359,9
360,48
361,10
362,76
363,65
364,4
365,107
366,2
367,65
368,4
369,108
370,34
371,22
372,109
373,18
374,56
375,19
376,84
377,80
378,109
379,45
380,19
381,48
382,6
383,29
384,62
385,19
386,79
387,52
388,65
389,10
390,49
391,63
392,110
393,88
394,6
395,111
396,53
397,34
398,19
399,19
400,86
401,54
402,48
403,112
404,113
405,48
406,74
407,19
408,41
409,107
410,16
411,19
412,44
413,90
414,19
415,66
416,19
417,14
418,51
419,79
420,83
421,72
422,5
423,79
424,68
425,114
426,2
427,19
428,115
429,56
430,116
431,17
432,1
433,14
434,102
435,6
436,2
437,6
438,14
439,117
440,22
441,115
442,19
443,28
444,5
445,79
446,76
447,65
448,63
449,19
450,4
451,118
452,19
453,19
454,76
455,28
456,79
457,3
458,70
459,56
460,4
461,49
462,31
463,33
464,32
465,23
466,33
467,20
468,48
469,6
470,72
471,119
472,4
473,105
474,66
475,94
476,6
477,90
478,53
479,36
480,31
481,120
482,67
483,121
484,52
485,66
486,26
487,63
488,17
489,76
490,19
491,7
492,7
493,122
494,40
495,65
496,44
497,50
498,65
499,123
500,81
501,83
502,52
503,35
504,4
505,23
506,6
507,57
508,104
509,19
510,9
511,124
512,125
513,18
514,58
515,56
516,53
517,78
518,56
519,104
520,62
521,10
522,18
523,75
524,34
525,66
526,18
527,53
528,63
529,66
530,12
531,34
532,65
533,72
534,16
535,22
536,18
537,55
538,22
539,21
540,95
541,74
542,40
543,86
544,78
545,76
546,7
547,23
548,105
549,13
550,41
551,54
552,6
553,42
554,23
555,28
556,18
557,55
558,90
559,70
560,30
561,76
562,54
563,19
